,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
13,BlacKkKlansman,135 min,R,"Biography, Comedy, Crime","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.","49,275,340.00",2018,BlacKkKlansman,Best Picture,BlacKkKlansman,2019,0
14,Green Book,130 min,PG-13,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"85,080,171.00",2018,Green Book,Best Picture,Green Book,2019,1
15,A Star Is Born,136 min,R,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,"215,288,866.00",2018,A Star Is Born,Best Picture,A Star Is Born,2019,0
16,Bohemian Rhapsody,134 min,PG-13,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","216,428,042.00",2018,Bohemian Rhapsody,Best Picture,Bohemian Rhapsody,2019,0
17,Black Panther,134 min,PG-13,"Action, Adventure, Sci-Fi","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","700,059,566.00",2018,Black Panther,Best Picture,Black Panther,2019,0
18,Call Me by Your Name,132 min,R,"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","18,095,701.00",2017,Call Me by Your Name,Best Picture,Call Me by Your Name,2018,0
19,Phantom Thread,130 min,R,"Drama, Romance","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.","21,198,205.00",2017,Phantom Thread,Best Picture,Phantom Thread,2018,0
20,Lady Bird,94 min,R,"Comedy, Drama","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.","48,958,273.00",2017,Lady Bird,Best Picture,Lady Bird,2018,0
21,"Three Billboards Outside Ebbing, Missouri",115 min,R,"Comedy, Crime, Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"54,513,740.00",2017,"Three Billboards outside Ebbing, Missouri",Best Picture,"Three Billboards outside Ebbing, Missouri",2018,0
22,Darkest Hour,125 min,PG-13,"Biography, Drama, War","In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.","56,468,410.00",2017,Darkest Hour,Best Picture,Darkest Hour,2018,0
23,The Shape of Water,123 min,R,"Drama, Fantasy, Romance","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","63,859,435.00",2017,The Shape of Water,Best Picture,The Shape of Water,2018,1
24,The Post,116 min,PG-13,Drama,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,"81,903,458.00",2017,The Post,Best Picture,The Post,2018,0
25,Get Out,104 min,R,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","176,040,665.00",2017,Get Out,Best Picture,Get Out,2018,0
26,Dunkirk,106 min,PG-13,"Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","188,373,161.00",2017,Dunkirk,Best Picture,Dunkirk,2018,0
27,Hell or High Water,102 min,R,"Crime, Drama, Thriller",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,"26,862,450.00",2016,Hell or High Water,Best Picture,Hell or High Water,2017,0
28,Moonlight,111 min,R,Drama,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","27,854,932.00",2016,Moonlight,Best Picture,Moonlight,2017,1
29,Manchester by the Sea,137 min,R,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,"47,695,371.00",2016,Manchester by the Sea,Best Picture,Manchester by the Sea,2017,0
30,Lion,118 min,PG-13,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","51,739,495.00",2016,Lion,Best Picture,Lion,2017,0
31,Fences,139 min,PG-13,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.","57,642,961.00",2016,Fences,Best Picture,Fences,2017,0
32,Hacksaw Ridge,139 min,R,"Biography, Drama, History","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","67,209,615.00",2016,Hacksaw Ridge,Best Picture,Hacksaw Ridge,2017,0
33,Arrival,116 min,PG-13,"Drama, Mystery, Sci-Fi",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,"100,546,139.00",2016,Arrival,Best Picture,Arrival,2017,0
34,La La Land,128 min,PG-13,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","151,101,803.00",2016,La La Land,Best Picture,La La Land,2017,0
35,Hidden Figures,127 min,PG,"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"169,607,287.00",2016,Hidden Figures,Best Picture,Hidden Figures,2017,0
36,Room,118 min,R,"Drama, Thriller","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","14,677,674.00",2015,Room,Best Picture,Room,2016,0
37,Brooklyn,117 min,PG-13,"Drama, Romance","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","38,322,743.00",2015,Brooklyn,Best Picture,Brooklyn,2016,0
