,film,producer,release_year
136,The More the Merrier,Columbia,1943
137,The Ox-Bow Incident,20th Century-Fox,1943
138,The Song of Bernadette,20th Century-Fox,1943
139,Watch on the Rhine,Warner Bros.,1943
140,Going My Way,Paramount,1944
141,Double Indemnity,Paramount,1944
142,Gaslight,Metro-Goldwyn-Mayer,1944
143,Since You Went Away,Selznick International Pictures,1944
144,Wilson,20th Century-Fox,1944
145,The Lost Weekend,Paramount,1945
146,Anchors Aweigh,Metro-Goldwyn-Mayer,1945
147,The Bells of St. Mary's,Rainbow Productions,1945
148,Mildred Pierce,Warner Bros.,1945
149,Spellbound,Selznick International Pictures,1945
150,The Best Years of Our Lives,Samuel Goldwyn Productions,1946
151,Henry V,Two Cities Films,1946
152,It's a Wonderful Life,Liberty Films,1946
153,The Razor's Edge,20th Century-Fox,1946
154,The Yearling,Metro-Goldwyn-Mayer,1946
155,Gentleman's Agreement,20th Century-Fox,1947
156,The Bishop's Wife,Samuel Goldwyn Productions,1947
157,Crossfire,RKO Radio,1947
158,Great Expectations,J. Arthur Rank-Cineguild,1947
159,Miracle on 34th Street,20th Century-Fox,1947
160,Hamlet,J. Arthur Rank-Two Cities Films,1948
161,Johnny Belinda,Warner Bros.,1948
162,The Red Shoes,J. Arthur Rank-Archers,1948
163,The Snake Pit,20th Century-Fox,1948
164,The Treasure of the Sierra Madre,Warner Bros.,1948
165,All the King's Men,Columbia,1949
166,Battleground,Metro-Goldwyn-Mayer,1949
167,The Heiress,Paramount,1949
168,A Letter to Three Wives,20th Century-Fox,1949
169,Twelve O'Clock High,20th Century-Fox,1949
170,All About Eve,20th Century-Fox,1950
171,Born Yesterday,Columbia,1950
172,Father of the Bride,Metro-Goldwyn-Mayer,1950
173,King Solomon's Mines,Metro-Goldwyn-Mayer,1950
174,Sunset Boulevard,Paramount,1950
175,An American in Paris,Arthur Freed,1951
176,Decision Before Dawn,Anatole Litvak and Frank McCarthy,1951
177,A Place in the Sun,George Stevens,1951
178,Quo Vadis,Sam Zimbalist,1951
179,A Streetcar Named Desire,Charles K. Feldman,1951
180,The Greatest Show on Earth,Cecil B. DeMille,1952
181,High Noon,Stanley Kramer,1952
182,Ivanhoe,Pandro S. Berman,1952
183,Moulin Rouge,John and James Woolf,1952
184,The Quiet Man,John Ford and Merian C. Cooper,1952
185,From Here to Eternity,Buddy Adler,1953
186,Julius Caesar,John Houseman,1953
187,The Robe,Frank Ross,1953
188,Roman Holiday,William Wyler,1953
189,Shane,George Stevens,1953
190,On the Waterfront,Sam Spiegel,1954
191,The Caine Mutiny,Stanley Kramer,1954
192,The Country Girl,William Perlberg,1954
193,Seven Brides for Seven Brothers,Jack Cummings,1954
194,Three Coins in the Fountain,Sol C. Siegel,1954
195,Marty,Harold Hecht,1955
196,Love Is a Many-Splendored Thing,Buddy Adler,1955
197,Mister Roberts,Leland Hayward,1955
198,Picnic,Fred Kohlmar,1955
199,The Rose Tattoo,Hal B. Wallis,1955
200,Around the World in 80 Days,Michael Todd,1956
201,Friendly Persuasion,William Wyler,1956
202,Giant,George Stevens and Henry Ginsberg,1956
203,The King and I,Charles Brackett,1956
204,The Ten Commandments,Cecil B. DeMille,1956
205,The Bridge on the River Kwai,Sam Spiegel,1957
206,12 Angry Men,Henry Fonda and Reginald Rose,1957
207,Peyton Place,Jerry Wald,1957
208,Sayonara,William Goetz,1957
209,Witness for the Prosecution,Arthur Hornblow Jr.,1957
210,Gigi,Arthur Freed,1958
211,Auntie Mame,Jack L. Warner,1958
212,Cat on a Hot Tin Roof,Lawrence Weingarten,1958
213,The Defiant Ones,Stanley Kramer,1958
214,Separate Tables,Harold Hecht,1958
215,Ben-Hur,Sam Zimbalist,1959
216,Anatomy of a Murder,Otto Preminger,1959
217,The Diary of Anne Frank,George Stevens,1959
218,The Nun's Story,Henry Blanke,1959
219,Room at the Top,John Woolf and James Woolf,1959
220,The Apartment,Billy Wilder,1960
221,The Alamo,John Wayne,1960
222,Elmer Gantry,Bernard Smith,1960
223,Sons and Lovers,Jerry Wald,1960
224,The Sundowners,Fred Zinnemann,1960
225,West Side Story,Robert Wise,1961
226,Fanny,Joshua Logan,1961
227,The Guns of Navarone,Carl Foreman,1961
228,The Hustler,Robert Rossen,1961
229,Judgment at Nuremberg,Stanley Kramer,1961
230,Lawrence of Arabia,Sam Spiegel,1962
231,The Longest Day,Darryl F. Zanuck,1962
232,The Music Man,Morton DaCosta,1962
233,Mutiny on the Bounty,Aaron Rosenberg,1962
234,To Kill a Mockingbird,Alan J. Pakula,1962
235,Tom Jones,Tony Richardson,1963
236,America America,Elia Kazan,1963
237,Cleopatra,Walter Wanger,1963
238,How the West Was Won,Bernard Smith,1963
239,Lilies of the Field,Ralph Nelson,1963
240,My Fair Lady,Jack L. Warner,1964
241,Becket,Hal B. Wallis,1964
242,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964
243,Mary Poppins,Walt Disney and Bill Walsh,1964
244,Zorba the Greek,Michael Cacoyannis,1964
245,The Sound of Music,Robert Wise,1965
246,Darling,Joseph Janni,1965
247,Doctor Zhivago,Carlo Ponti,1965
248,Ship of Fools,Stanley Kramer,1965
249,A Thousand Clowns,Fred Coe,1965
250,A Man for All Seasons,Fred Zinnemann,1966
251,Alfie,Lewis Gilbert,1966
252,"The Russians Are Coming, the Russians Are Coming",Norman Jewison,1966
253,The Sand Pebbles,Robert Wise,1966
254,Who's Afraid of Virginia Woolf?,Ernest Lehman,1966
255,In the Heat of the Night,Walter Mirisch,1967
256,Bonnie and Clyde,Warren Beatty,1967
257,Doctor Dolittle,Arthur P. Jacobs,1967
258,The Graduate,Lawrence Turman,1967
259,Guess Who's Coming to Dinner,Stanley Kramer,1967
260,Oliver!,John Woolf,1968
261,Funny Girl,Ray Stark,1968
262,The Lion in Winter,Martin Poll,1968
263,"Rachel, Rachel",Paul Newman,1968
264,Romeo and Juliet,Anthony Havelock-Allan and John Brabourne,1968
265,Midnight Cowboy,Jerome Hellman,1969
266,Anne of the Thousand Days,Hal B. Wallis,1969
267,Butch Cassidy and the Sundance Kid,John Foreman,1969
268,"Hello, Dolly!",Ernest Lehman,1969
269,Z,Jacques Perrin and Ahmed Rachedi,1969
270,,Frank McCarthy,1970
271,,Ross Hunter,1970
272,,Bob Rafelson and Richard Wechsler,1970
273,,Howard G. Minsky,1970
274,,Ingo Preminger,1970
275,,Philip D'Antoni,1971
276,,Stanley Kubrick,1971
277,,Norman Jewison,1971
278,,Stephen J. Friedman,1971
279,,Sam Spiegel,1971
280,,Albert S. Ruddy,1972
281,,Cy Feuer,1972
282,,John Boorman,1972
283,,Bengt Forslund,1972
284,,Robert B. Radnitz,1972
285,,"Tony Bill, Michael Phillips, and Julia Phillips",1973
286,,Francis Ford Coppola and Gary Kurtz,1973
287,,Ingmar Bergman,1973
288,,William Peter Blatty,1973
289,,Melvin Frank,1973
290,,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",1974
291,,Robert Evans,1974
292,,Francis Ford Coppola,1974
293,,Marvin Worth,1974
294,,Irwin Allen,1974
295,,Michael Douglas and Saul Zaentz,1975
296,,Stanley Kubrick,1975
297,,Martin Bregman and Martin Elfand,1975
298,,Richard D. Zanuck and David Brown,1975
299,,Robert Altman,1975
300,,Irwin Winkler and Robert Chartoff,1976
301,,Walter Coblenz,1976
