,film,producer,release_year
514,Boyhood,Richard Linklater and Cathleen Sutherland,2014
515,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven M. Rales, and Jeremy Dawson",2014
516,The Imitation Game,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",2014
517,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",2014
518,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",2014
519,Whiplash,"Jason Blum, Helen Estabrook, and David Lancaster",2014
520,Spotlight,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",2015
521,The Big Short,"Dede Gardner, Jeremy Kleiner, and Brad Pitt",2015
522,Bridge of Spies,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",2015
523,Brooklyn,Finola Dwyer and Amanda Posey,2015
524,Mad Max: Fury Road,Doug Mitchell and George Miller,2015
525,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam",2015
526,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon",2015
527,Room,Ed Guiney,2015
528,Moonlight,"Adele Romanski, Dede Gardner, and Jeremy Kleiner",2016
529,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",2016
530,Fences,"Scott Rudin, Denzel Washington, and Todd Black",2016
531,Hacksaw Ridge,Bill Mechanic and David Permut,2016
532,Hell or High Water,Carla Hacken and Julie Yorn,2016
533,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",2016
534,La La Land,"Fred Berger, Jordan Horowitz, and Marc Platt",2016
535,Lion,"Emile Sherman, Iain Canning, and Angie Fielder",2016
536,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",2016
537,The Shape of Water,Guillermo del Toro and J. Miles Dale,2017
538,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",2017
539,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",2017
540,Dunkirk,Emma Thomas and Christopher Nolan,2017
541,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",2017
542,Lady Bird,"Scott Rudin, Eli Bush, and Evelyn O'Neill",2017
543,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",2017
544,The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",2017
545,"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Pete Czernin, and Martin McDonagh",2017
546,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",2018
547,Black Panther,Kevin Feige,2018
548,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee",2018
549,Bohemian Rhapsody,Graham King,2018
550,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos",2018
551,Roma,Gabriela Rodríguez and Alfonso Cuarón,2018
552,A Star Is Born,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",2018
553,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",2018
554,Parasite,Kwak Sin-ae and Bong Joon-ho,2019
555,Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold",2019
556,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",2019
557,Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",2019
558,Joker,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff",2019
559,Little Women,Amy Pascal,2019
560,Marriage Story,Noah Baumbach and David Heyman,2019
561,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",2019
562,Once Upon a Time in Hollywood,"David Heyman, Shannon McIntosh, and Quentin Tarantino",2019
563,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao",2020
564,The Father,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",2020
565,Judas and the Black Messiah,"Shaka King, Charles D. King, and Ryan Coogler",2020
566,Mank,"Ceán Chaffin, Eric Roth, and Douglas Urbanski",2020
567,Minari,Christina Oh,2020
568,Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara",2020
569,Sound of Metal,Bert Hamelinck and Sacha Ben Harroche,2020
570,The Trial of the Chicago 7,Marc Platt and Stuart M. Besser,2020
571,CODA,"Philippe Rousselet, Fabrice Gianfermi, and Patrick Wachsberger",2021
572,Belfast,"Laura Berwick, Kenneth Branagh, Becca Kovacik, and Tamar Thomas",2021
573,Don't Look Up,Adam McKay and Kevin Messick,2021
574,Drive My Car,Teruhisa Yamamoto,2021
575,Dune,"Mary Parent, Denis Villeneuve, and Cale Boyter",2021
576,King Richard,"Tim White, Trevor White, and Will Smith",2021
577,Licorice Pizza,"Sara Murphy, Adam Somner, and Paul Thomas Anderson",2021
578,Nightmare Alley,"J. Miles Dale, Guillermo del Toro, and Bradley Cooper",2021
579,The Power of the Dog,"Emile Sherman, Iain Canning, Roger Frappier, Jane Campion, and Tanya Seghatchian",2021
580,West Side Story,Steven Spielberg and Kristie Macosko Krieger,2021
