,title,runtime,rating,genre,summary
40,41.La La Land(2016),128 min,PG-13,"Comedy, Drama, Music",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
41,42.Lion(2016),118 min,PG-13,"Biography, Drama","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
42,43.Manchester by the Sea(2016),137 min,R,Drama,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
43,44.Spotlight(I) (2015),129 min,R,"Biography, Crime, Drama",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
44,45.The Big Short(2015),130 min,R,"Biography, Comedy, Drama",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
45,46.Bridge of Spies(2015),142 min,PG-13,"Drama, History, Thriller","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
46,47.Brooklyn(2015),117 min,PG-13,"Drama, Romance","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
47,48.Mad Max: Fury Road(2015),120 min,R,"Action, Adventure, Sci-Fi",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
48,49.The Martian(2015),144 min,PG-13,"Adventure, Drama, Sci-Fi","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
49,50.The Revenant(2015),156 min,R,"Action, Adventure, Drama",
50,51.Room(I) (2015),118 min,R,"Drama, Thriller","In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is."
51,52.Birdman or (The Unexpected Virtue of Ignorance)(2014),119 min,R,"Comedy, Drama","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
52,53.American Sniper(2014),133 min,R,"Action, Biography, Drama","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
53,54.Boyhood(I) (2014),165 min,R,Drama,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
54,55.The Imitation Game(2014),114 min,PG-13,"Biography, Drama, Thriller","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
55,56.The Grand Budapest Hotel(2014),99 min,R,"Adventure, Comedy, Crime",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
56,57.Selma(2014),128 min,PG-13,"Biography, Drama, History","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
57,58.The Theory of Everything(2014),123 min,PG-13,"Biography, Drama, Romance","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
58,59.Whiplash(2014),106 min,R,"Drama, Music",
59,60.12 Years a Slave(2013),134 min,R,"Biography, Drama, History","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
60,61.American Hustle(2013),138 min,R,"Crime, Drama","The life of Mason, from early childhood to his arrival at college."
61,62.Captain Phillips(2013),134 min,PG-13,"Action, Biography, Crime","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
62,63.Dallas Buyers Club(2013),117 min,R,"Biography, Drama","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
63,64.Gravity(2013),91 min,PG-13,"Sci-Fi, Thriller","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965."
64,65.Her(2013),126 min,R,"Drama, Romance, Sci-Fi",A look at the relationship between the famous physicist Stephen Hawking and his wife.
65,66.Nebraska(2013),115 min,R,"Adventure, Comedy, Drama",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
66,67.Philomena(2013),98 min,PG-13,"Biography, Comedy, Drama","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
67,68.The Wolf of Wall Street(2013),180 min,R,"Biography, Comedy, Crime",
68,69.Argo(2012),120 min,R,"Biography, Drama, Thriller","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
69,70.Beasts of the Southern Wild(2012),93 min,PG-13,"Adventure, Drama, Fantasy","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
70,71.Zero Dark Thirty(2012),157 min,R,"Drama, History, Thriller","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
71,72.Amour(2012),127 min,PG-13,Drama,Two astronauts work together to survive after an accident leaves them stranded in space.
72,73.Silver Linings Playbook(2012),122 min,R,"Comedy, Drama, Romance","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
73,74.Lincoln(2012),150 min,PG-13,"Biography, Drama, History","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
74,75.Life of Pi(2012),127 min,PG,"Adventure, Drama, Fantasy","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
75,76.Les Misérables(2012),158 min,PG-13,"Drama, Musical, Romance","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
76,77.Django Unchained(2012),165 min,R,"Drama, Western","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
77,78.The Artist(I) (2011),100 min,PG-13,"Comedy, Drama, Romance",
78,79.The Tree of Life(2011),139 min,PG-13,"Drama, Fantasy","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love."
79,80.The Descendants(2011),115 min,R,"Comedy, Drama","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
80,81.Extremely Loud & Incredibly Close(2011),129 min,PG-13,"Adventure, Drama, Mystery","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
81,82.The Help(2011),146 min,PG-13,Drama,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
82,83.Hugo(2011),126 min,PG,"Adventure, Drama, Family","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
83,84.Midnight in Paris(2011),94 min,PG-13,"Comedy, Fantasy, Romance","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
84,85.Moneyball(2011),133 min,PG-13,"Biography, Drama, Sport","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
85,86.War Horse(2011),146 min,PG-13,"Action, Adventure, Drama","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
86,87.The King's Speech(2010),118 min,R,"Biography, Drama, History",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
87,88.127 Hours(2010),94 min,R,"Biography, Drama",
88,89.Black Swan(2010),108 min,R,"Drama, Thriller","The story of a family in Waco, Texas in The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
89,90.The Fighter(I) (2010),116 min,R,"Action, Biography, Drama",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
90,91.Inception(2010),148 min,PG-13,"Action, Adventure, Sci-Fi","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001."
91,92.The Kids Are All Right(2010),106 min,R,"Comedy, Drama, Romance","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
92,93.The Social Network(2010),120 min,PG-13,"Biography, Drama","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
93,94.Toy Story 3(2010),103 min,G,"Animation, Adventure, Comedy","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
94,95.True Grit(2010),110 min,PG-13,"Drama, Western",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
95,96.The Hurt Locker(2008),131 min,R,"Drama, Thriller, War",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.
