,category,nominee,year,winner
154,Directing,Skippy,1932,1.0
155,Directing,Cimarron,1932,0.0
156,Directing,A Free Soul,1932,0.0
157,Directing,The Front Page,1932,0.0
158,Directing,Morocco,1932,0.0
159,Outstanding Production,Cimarron,1932,1.0
160,Outstanding Production,East Lynne,1932,0.0
161,Outstanding Production,The Front Page,1932,0.0
162,Outstanding Production,Skippy,1932,0.0
163,Outstanding Production,Trader Horn,1932,0.0
164,Sound Recording,,1932,1.0
172,Writing (Adaptation),Cimarron,1932,1.0
173,Writing (Adaptation),The Criminal Code,1932,0.0
174,Writing (Adaptation),Holiday,1932,0.0
175,Writing (Adaptation),Little Caesar,1932,0.0
176,Writing (Adaptation),Skippy,1932,0.0
177,Writing (Original Story),The Dawn Patrol,1932,1.0
178,Writing (Original Story),The Doorway to Hell,1932,0.0
179,Writing (Original Story),Laughter,1932,0.0
180,Writing (Original Story),The Public Enemy,1932,0.0
181,Writing (Original Story),Smart Money,1932,0.0
182,Actor,Wallace Beery,1933,1.0
183,Actor,Fredric March,1933,1.0
184,Actor,Alfred Lunt,1933,0.0
185,Actress,Helen Hayes,1933,1.0
186,Actress,Marie Dressler,1933,1.0
187,Actress,Lynn Fontanne,1933,0.0
188,Art Direction,Transatlantic,1933,1.0
189,Art Direction,,1933,0.0
190,Art Direction,Arrowsmith,1933,0.0
191,Cinematography,Shanghai Express,1933,1.0
192,Cinematography,Arrowsmith,1933,0.0
193,Cinematography,Dr. Jekyll and Mr. Hyde,1933,0.0
194,Directing,Bad Girl,1933,1.0
195,Directing,The Champ,1933,0.0
196,Directing,Shanghai Express,1933,0.0
197,Outstanding Production,Grand Hotel,1933,1.0
198,Outstanding Production,Arrowsmith,1933,0.0
199,Outstanding Production,Bad Girl,1933,0.0
200,Outstanding Production,The Champ,1933,0.0
201,Outstanding Production,Five Star Final,1933,0.0
202,Outstanding Production,One Hour with You,1933,0.0
203,Outstanding Production,Shanghai Express,1933,0.0
204,Outstanding Production,The Smiling Lieutenant,1933,0.0
205,Short Subject (Cartoon),Flowers and Trees,1933,1.0
206,Short Subject (Cartoon),It's Got Me Again,1933,0.0
207,Short Subject (Cartoon),Mickey's Orphans,1933,0.0
208,Short Subject (Comedy),The Music Box,1933,1.0
209,Short Subject (Comedy),The Loud Mouth,1933,0.0
210,Short Subject (Comedy),Scratch-As-Catch-Can,1933,0.0
211,Short Subject (Novelty),Wrestling Swordfish,1933,1.0
212,Short Subject (Novelty),Screen Souvenirs,1933,0.0
213,Short Subject (Novelty),Swing High,1933,0.0
214,Sound Recording,,1933,1.0
222,Writing (Adaptation),Bad Girl,1933,1.0
223,Writing (Adaptation),Arrowsmith,1933,0.0
224,Writing (Adaptation),Dr. Jekyll and Mr. Hyde,1933,0.0
225,Writing (Original Story),The Champ,1933,1.0
226,Writing (Original Story),Lady and Gent,1933,0.0
227,Writing (Original Story),The Star Witness,1933,0.0
228,Writing (Original Story),What Price Hollywood?,1933,0.0
229,Actor,Charles Laughton,1934,1.0
230,Actor,Leslie Howard,1934,0.0
231,Actor,Paul Muni,1934,1.0
232,Actress,Katharine Hepburn,1934,1.0
235,Actress,May Robson,1934,0.0
236,Actress,Diana Wynyard,1934,0.0
237,Art Direction,Cavalcade,1934,1.0
238,Art Direction,A Farewell to Arms,1934,0.0
239,Art Direction,When Ladies Meet,1934,0.0
240,Assistant Director,,1934,1.0
258,Cinematography,A Farewell to Arms,1934,1.0
259,Cinematography,Reunion in Vienna,1934,0.0
260,Cinematography,The Sign of the Cross,1934,0.0
261,Directing,Cavalcade,1934,1.0
262,Directing,Lady for a Day,1934,0.0
263,Directing,Little Women,1934,0.0
264,Outstanding Production,Cavalcade,1934,1.0
265,Outstanding Production,A Farewell to Arms,1934,0.0
266,Outstanding Production,42nd Street,1934,0.0
267,Outstanding Production,I Am a Fugitive from a Chain Gang,1934,0.0
268,Outstanding Production,Lady for a Day,1934,0.0
269,Outstanding Production,Little Women,1934,0.0
270,Outstanding Production,The Private Life of Henry VIII,1934,0.0
271,Outstanding Production,She Done Him Wrong,1934,0.0
272,Outstanding Production,Smilin' Through,1934,0.0
273,Outstanding Production,State Fair,1934,0.0
274,Short Subject (Cartoon),The Three Little Pigs,1934,1.0
275,Short Subject (Cartoon),Building a Building,1934,0.0
276,Short Subject (Cartoon),The Merry Old Soul,1934,0.0
277,Short Subject (Comedy),So This Is Harris,1934,1.0
278,Short Subject (Comedy),Mister Mugg,1934,0.0
279,Short Subject (Comedy),A Preferred List,1934,0.0
280,Short Subject (Novelty),Krakatoa,1934,1.0
281,Short Subject (Novelty),Menu,1934,0.0
282,Short Subject (Novelty),The Sea,1934,0.0
283,Sound Recording,A Farewell to Arms,1934,1.0
284,Sound Recording,42nd Street,1934,0.0
285,Sound Recording,Gold Diggers of 1933,1934,0.0
286,Sound Recording,I Am a Fugitive from a Chain Gang,1934,0.0
287,Writing (Adaptation),Little Women,1934,1.0
288,Writing (Adaptation),Lady for a Day,1934,0.0
289,Writing (Adaptation),State Fair,1934,0.0
290,Writing (Original Story),One Way Passage,1934,1.0
291,Writing (Original Story),The Prizefighter and the Lady,1934,0.0
292,Writing (Original Story),Rasputin and the Empress,1934,0.0
293,Actor,Clark Gable,1935,1.0
294,Actor,Frank Morgan,1935,0.0
295,Actor,William Powell,1935,0.0
296,Actress,Claudette Colbert,1935,1.0
297,Actress,Bette Davis,1935,1.0
299,Actress,Grace Moore,1935,0.0
300,Actress,Norma Shearer,1935,1.0
301,Art Direction,The Merry Widow,1935,1.0
302,Art Direction,The Affairs of Cellini,1935,0.0
303,Art Direction,The Gay Divorcee,1935,0.0
304,Assistant Director,Viva Villa!,1935,1.0
305,Assistant Director,Cleopatra,1935,0.0
306,Assistant Director,Imitation of Life,1935,0.0
307,Cinematography,Cleopatra,1935,1.0
308,Cinematography,The Affairs of Cellini,1935,0.0
309,Cinematography,Operator 13,1935,0.0
310,Directing,It Happened One Night,1935,1.0
311,Directing,One Night of Love,1935,0.0
