,film,film_studio,film_studio/producer(s),producer(s),films,oscars_year
128,Hold Back the Dawn,Paramount,,,,1941
129,The Little Foxes,Samuel Goldwyn Productions,,,,1941
130,The Maltese Falcon,Warner Bros.,,,,1941
131,One Foot in Heaven,Warner Bros.,,,,1941
132,Sergeant York,Warner Bros.,,,,1941
133,Suspicion,RKO Radio,,,,1941
134,,,,,,1942
135,Mrs. Miniver,Metro-Goldwyn-Mayer,,,,1942
136,49th Parallel[33],Ortus,,,,1942
137,Kings Row,Warner Bros.,,,,1942
138,The Magnificent Ambersons,Mercury,,,,1942
139,The Pied Piper,20th Century-Fox,,,,1942
140,The Pride of the Yankees,Samuel Goldwyn Productions,,,,1942
141,Random Harvest,Metro-Goldwyn-Mayer,,,,1942
142,The Talk of the Town,Columbia,,,,1942
143,Wake Island,Paramount,,,,1942
144,Yankee Doodle Dandy,Warner Bros.,,,,1942
145,,,,,,1943
146,Casablanca,Warner Bros.,,,,1943
147,For Whom the Bell Tolls,Paramount,,,,1943
148,Heaven Can Wait,20th Century-Fox,,,,1943
149,The Human Comedy,Metro-Goldwyn-Mayer,,,,1943
150,In Which We Serve,Two Cities Films,,,,1943
151,Madame Curie,Metro-Goldwyn-Mayer,,,,1943
152,The More the Merrier,Columbia,,,,1943
153,The Ox-Bow Incident,20th Century-Fox,,,,1943
154,The Song of Bernadette,20th Century-Fox,,,,1943
155,Watch on the Rhine,Warner Bros.,,,,1943
156,,,,,,1944
157,Going My Way,Paramount,,,,1944
158,Double Indemnity,Paramount,,,,1944
159,Gaslight,Metro-Goldwyn-Mayer,,,,1944
160,Since You Went Away,Selznick International Pictures,,,,1944
161,Wilson,20th Century-Fox,,,,1944
162,,,,,,1945
163,The Lost Weekend,Paramount,,,,1945
164,Anchors Aweigh,Metro-Goldwyn-Mayer,,,,1945
165,The Bells of St. Mary's,Rainbow Productions,,,,1945
166,Mildred Pierce,Warner Bros.,,,,1945
167,Spellbound,Selznick International Pictures,,,,1945
168,,,,,,1946
169,The Best Years of Our Lives,Samuel Goldwyn Productions,,,,1946
170,Henry V,Two Cities Films,,,,1946
171,It's a Wonderful Life,Liberty Films,,,,1946
172,The Razor's Edge,20th Century-Fox,,,,1946
173,The Yearling,Metro-Goldwyn-Mayer,,,,1946
174,,,,,,1947
175,Gentleman's Agreement,20th Century-Fox,,,,1947
176,The Bishop's Wife,Samuel Goldwyn Productions,,,,1947
177,Crossfire,RKO Radio,,,,1947
178,Great Expectations,J. Arthur Rank-Cineguild,,,,1947
179,Miracle on 34th Street,20th Century-Fox,,,,1947
180,,,,,,1948
181,Hamlet,J. Arthur Rank-Two Cities Films,,,,1948
182,Johnny Belinda,Warner Bros.,,,,1948
183,The Red Shoes,J. Arthur Rank-Archers,,,,1948
184,The Snake Pit,20th Century-Fox,,,,1948
185,The Treasure of the Sierra Madre,Warner Bros.,,,,1948
186,,,,,,1949
187,All the King's Men,Columbia,,,,1949
188,Battleground,Metro-Goldwyn-Mayer,,,,1949
189,The Heiress,Paramount,,,,1949
190,A Letter to Three Wives,20th Century-Fox,,,,1949
191,Twelve O'Clock High,20th Century-Fox,,,,1949
192,,,,,,1950
193,All About Eve,,20th Century-Fox,,,1950
194,Born Yesterday,,Columbia,,,1950
195,Father of the Bride,,Metro-Goldwyn-Mayer,,,1950
196,King Solomon's Mines,,Metro-Goldwyn-Mayer,,,1950
197,Sunset Boulevard,,Paramount,,,1950
198,,,,,,1951
199,An American in Paris,,Arthur Freed,,,1951
200,Decision Before Dawn,,Anatole Litvak and Frank McCarthy,,,1951
201,A Place in the Sun,,George Stevens,,,1951
202,Quo Vadis,,Sam Zimbalist,,,1951
203,A Streetcar Named Desire,,Charles K. Feldman,,,1951
204,,,,,,1952
205,The Greatest Show on Earth,,Cecil B. DeMille,,,1952
206,High Noon,,Stanley Kramer,,,1952
207,Ivanhoe,,Pandro S. Berman,,,1952
208,Moulin Rouge,,John and James Woolf,,,1952
209,The Quiet Man,,John Ford and Merian C. Cooper,,,1952
210,,,,,,1953
211,From Here to Eternity,,Buddy Adler,,,1953
212,Julius Caesar,,John Houseman,,,1953
213,The Robe,,Frank Ross,,,1953
214,Roman Holiday,,William Wyler,,,1953
215,Shane,,George Stevens,,,1953
216,,,,,,1954
217,On the Waterfront,,Sam Spiegel,,,1954
218,The Caine Mutiny,,Stanley Kramer,,,1954
219,The Country Girl,,William Perlberg,,,1954
220,Seven Brides for Seven Brothers,,Jack Cummings,,,1954
221,Three Coins in the Fountain,,Sol C. Siegel,,,1954
222,,,,,,1955
223,Marty,,Harold Hecht,,,1955
224,Love Is a Many-Splendored Thing,,Buddy Adler,,,1955
225,Mister Roberts,,Leland Hayward,,,1955
226,Picnic,,Fred Kohlmar,,,1955
227,The Rose Tattoo,,Hal B. Wallis,,,1955
228,,,,,,1956
229,Around the World in 80 Days,,Michael Todd,,,1956
230,Friendly Persuasion,,William Wyler,,,1956
231,Giant,,George Stevens and Henry Ginsberg,,,1956
232,The King and I,,Charles Brackett,,,1956
233,The Ten Commandments,,Cecil B. DeMille,,,1956
234,,,,,,1957
235,The Bridge on the River Kwai,,Sam Spiegel,,,1957
236,12 Angry Men,,Henry Fonda and Reginald Rose,,,1957
237,Peyton Place,,Jerry Wald,,,1957
238,Sayonara,,William Goetz,,,1957
239,Witness for the Prosecution,,Arthur Hornblow Jr.,,,1957
240,,,,,,1958
241,Gigi,,Arthur Freed,,,1958
242,Auntie Mame,,Jack L. Warner,,,1958
243,Cat on a Hot Tin Roof,,Lawrence Weingarten,,,1958
244,The Defiant Ones,,Stanley Kramer,,,1958
245,Separate Tables,,Harold Hecht,,,1958
246,,,,,,1959
247,Ben-Hur,,Sam Zimbalist,,,1959
248,Anatomy of a Murder,,Otto Preminger,,,1959
249,The Diary of Anne Frank,,George Stevens,,,1959
250,The Nun's Story,,Henry Blanke,,,1959
251,Room at the Top,,John Woolf and James Woolf,,,1959
252,,,,,,1960
253,The Apartment,,,Billy Wilder,,1960
254,The Alamo,,,John Wayne,,1960
255,Elmer Gantry,,,Bernard Smith,,1960
256,Sons and Lovers,,,Jerry Wald,,1960
257,The Sundowners,,,Fred Zinnemann,,1960
258,,,,,,1961
259,West Side Story,,,Robert Wise,,1961
260,Fanny,,,Joshua Logan,,1961
261,The Guns of Navarone,,,Carl Foreman,,1961
262,The Hustler,,,Robert Rossen,,1961
263,Judgment at Nuremberg,,,Stanley Kramer,,1961
264,,,,,,1962
265,Lawrence of Arabia,,,Sam Spiegel,,1962
266,The Longest Day,,,Darryl F. Zanuck,,1962
267,The Music Man,,,Morton DaCosta,,1962
268,Mutiny on the Bounty,,,Aaron Rosenberg,,1962
269,To Kill a Mockingbird,,,Alan J. Pakula,,1962
270,,,,,,1963
271,Tom Jones,,,Tony Richardson,,1963
272,America America,,,Elia Kazan,,1963
273,Cleopatra,,,Walter Wanger,,1963
274,How the West Was Won,,,Bernard Smith,,1963
275,Lilies of the Field,,,Ralph Nelson,,1963
276,,,,,,1964
277,My Fair Lady,,,Jack L. Warner,,1964
278,Becket,,,Hal B. Wallis,,1964
279,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,,Stanley Kubrick,,1964
280,Mary Poppins,,,Walt Disney and Bill Walsh,,1964
281,Zorba the Greek,,,Michael Cacoyannis,,1964
282,,,,,,1965
283,The Sound of Music,,,Robert Wise,,1965
284,Darling,,,Joseph Janni,,1965
285,Doctor Zhivago,,,Carlo Ponti,,1965
286,Ship of Fools,,,Stanley Kramer,,1965
287,A Thousand Clowns,,,Fred Coe,,1965
288,,,,,,1966
289,A Man for All Seasons,,,Fred Zinnemann,,1966
290,Alfie,,,Lewis Gilbert,,1966
291,"The Russians Are Coming, the Russians Are Coming",,,Norman Jewison,,1966
292,The Sand Pebbles,,,Robert Wise,,1966
293,Who's Afraid of Virginia Woolf?,,,Ernest Lehman,,1966
294,,,,,,1967
295,In the Heat of the Night,,,Walter Mirisch,,1967
296,Bonnie and Clyde,,,Warren Beatty,,1967
297,Doctor Dolittle,,,Arthur P. Jacobs,,1967
298,The Graduate,,,Lawrence Turman,,1967
299,Guess Who's Coming to Dinner,,,Stanley Kramer,,1967
300,,,,,,1968
301,Oliver!,,,John Woolf,,1968
302,Funny Girl,,,Ray Stark,,1968
303,The Lion in Winter,,,Martin Poll,,1968
304,"Rachel, Rachel",,,Paul Newman,,1968
305,Romeo and Juliet,,,Anthony Havelock-Allan and John Brabourne,,1968
306,,,,,,1969
307,Midnight Cowboy,,,Jerome Hellman,,1969
308,Anne of the Thousand Days,,,Hal B. Wallis,,1969
309,Butch Cassidy and the Sundance Kid,,,John Foreman,,1969
310,"Hello, Dolly!",,,Ernest Lehman,,1969
311,Z,,,Jacques Perrin and Ahmed Rachedi,,1969
312,,,,,,1970
313,,,,Frank McCarthy,Patton,1970
314,,,,Ross Hunter,Airport,1970
315,,,,Bob Rafelson and Richard Wechsler,Five Easy Pieces,1970
316,,,,Howard G. Minsky,Love Story,1970
317,,,,Ingo Preminger,M*A*S*H,1970
318,,,,,,1971
319,,,,Philip D'Antoni,The French Connection,1971
320,,,,Stanley Kubrick,A Clockwork Orange,1971
321,,,,Norman Jewison,Fiddler on the Roof,1971
322,,,,Stephen J. Friedman,The Last Picture Show,1971
323,,,,Sam Spiegel,Nicholas and Alexandra,1971
324,,,,,,1972
325,,,,Albert S. Ruddy,The Godfather,1972
326,,,,Cy Feuer,Cabaret,1972
327,,,,John Boorman,Deliverance,1972
328,,,,Bengt Forslund,The Emigrants,1972
329,,,,Robert B. Radnitz,Sounder,1972
330,,,,,,1973
331,,,,"Tony Bill, Michael Phillips, and Julia Phillips",The Sting,1973
