,title,runtime,rating,genre,summary,gross,year
36,Fences,139 min,PG-13,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.","57,642,961",2016
37,Hacksaw Ridge,139 min,R,"Biography, Drama, History","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","67,209,615",2016
38,Hell or High Water,102 min,R,"Crime, Drama, Thriller",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,"26,862,450",2016
39,Hidden Figures,127 min,PG,"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"169,607,287",2016
40,La La Land,128 min,PG-13,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","151,101,803",2016
41,Lion,118 min,PG-13,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","51,739,495",2016
42,Manchester by the Sea,137 min,R,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,"47,695,371",2016
43,Spotlight,129 min,R,"Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","45,055,776",2015
44,The Big Short,130 min,R,"Biography, Comedy, Drama","In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.","70,259,870",2015
45,Bridge of Spies,142 min,PG-13,"Drama, History, Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","72,313,754",2015
46,Brooklyn,117 min,PG-13,"Drama, Romance","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","38,322,743",2015
47,Mad Max: Fury Road,120 min,R,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","154,058,340",2015
48,The Martian,144 min,PG-13,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","228,433,663",2015
49,The Revenant,156 min,R,"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"183,637,894",2015
50,Room,118 min,R,"Drama, Thriller","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","14,677,674",2015
51,Birdman or ,119 min,R,"Comedy, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","42,340,598",2014
52,American Sniper,133 min,R,"Action, Biography, Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.","350,126,372",2014
53,Boyhood,165 min,R,Drama,"The life of Mason, from early childhood to his arrival at college.","25,379,975",2014
54,The Imitation Game,114 min,PG-13,"Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.","91,125,683",2014
55,The Grand Budapest Hotel,99 min,R,"Adventure, Comedy, Crime","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","59,100,318",2014
56,Selma,128 min,PG-13,"Biography, Drama, History","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.","52,076,908",2014
57,The Theory of Everything,123 min,PG-13,"Biography, Drama, Romance",A look at the relationship between the famous physicist Stephen Hawking and his wife.,"35,893,537",2014
58,Whiplash,106 min,R,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"13,092,000",2014
59, Years a Slave,134 min,R,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","56,671,993",2013
60,American Hustle,138 min,R,"Crime, Drama","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.","150,117,807",2013
61,Captain Phillips,134 min,PG-13,"Action, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.","107,100,855",2013
62,Dallas Buyers Club,117 min,R,"Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","27,298,285",2013
63,Gravity,91 min,PG-13,"Sci-Fi, Thriller",Two astronauts work together to survive after an accident leaves them stranded in space.,"274,092,705",2013
64,Her,126 min,R,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","25,568,251",2013
65,Nebraska,115 min,R,"Adventure, Comedy, Drama","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.","17,654,912",2013
