,title,runtime,rating,genre,summary,gross,year
52,The Green Mile,189 min,R,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","136,801,374",1999
53,The Insider,157 min,R,"Biography, Drama, Thriller",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,"28,965,197",1999
54,The Sixth Sense,107 min,PG-13,"Drama, Mystery, Thriller","A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","293,506,292",1999
55,Shakespeare in Love,123 min,R,"Comedy, Drama, History","The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.","100,317,794",1998
56,Elizabeth,124 min,R,"Biography, Drama, History",The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.,"30,082,699",1998
57,Life Is Beautiful,116 min,PG-13,"Comedy, Drama, Romance","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","57,598,247",1997
58,Saving Private Ryan,169 min,R,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","216,540,909",1998
59,The Thin Red Line,170 min,R,"Drama, History, War","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.","36,400,491",1998
60,Titanic,194 min,PG-13,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","659,325,379",1997
61,As Good as It Gets,139 min,PG-13,"Comedy, Drama, Romance","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.","148,478,011",1997
62,The Full Monty,91 min,R,"Comedy, Drama","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.","45,950,122",1997
63,Good Will Hunting,126 min,R,"Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","138,433,435",1997
64,LA Confidential,138 min,R,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","64,616,940",1997
65,The English Patient,162 min,R,"Drama, Romance, War","At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.","78,651,430",1996
66,Fargo,98 min,R,"Crime, Thriller",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"24,611,975",1996
67,Jerry Maguire,139 min,R,"Comedy, Drama, Romance","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.","153,952,592",1996
68,Secrets & Lies,136 min,R,"Comedy, Drama","Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.","13,417,292",1996
69,Shine,105 min,PG-13,"Biography, Drama, Music","Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.","35,811,509",1996
70,Braveheart,178 min,R,"Biography, Drama, History",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"75,600,000",1995
71,Apollo ,140 min,PG,"Adventure, Drama, History",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"173,837,933",1995
72,Babe,91 min,G,"Comedy, Drama, Family","Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.","66,600,000",1995
73,The Postman,108 min,PG,"Biography, Comedy, Drama","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.","21,848,932",1994
74,Sense and Sensibility,136 min,PG,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.","43,182,776",1995
75,Forrest Gump,142 min,PG-13,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","330,252,182",1994
76,Four Weddings and a Funeral,117 min,R,"Comedy, Drama, Romance","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","52,700,832",1994
77,Pulp Fiction,154 min,R,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","107,928,762",1994
78,Quiz Show,133 min,PG-13,"Biography, Drama, History","A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.","24,822,619",1994
79,The Shawshank Redemption,142 min,R,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","28,341,469",1994
80,Schindler's List,195 min,R,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","96,898,818",1993
81,The Fugitive,130 min,PG-13,"Action, Crime, Drama","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","183,875,760",1993
82,In the Name of the Father,133 min,R,"Biography, Crime, Drama",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"25,010,410",1993
83,The Piano,121 min,R,"Drama, Music, Romance","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.","40,158,000",1993
84,The Remains of the Day,134 min,PG,"Drama, Romance",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,"22,954,968",1993
85,Unforgiven,130 min,R,"Drama, Western","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","101,157,447",1992
86,The Crying Game,112 min,R,"Crime, Drama, Romance","A British soldier kidnapped by IRA terrorists soon befriends one of his captors, who then becomes drawn into the soldier's world.","62,549,000",1992
87,A Few Good Men,138 min,R,"Drama, Thriller",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,"141,340,178",1992
88,Howards End,142 min,PG,"Drama, Romance",A businessman thwarts his wife's bequest of an estate to another woman.,"25,967,000",1992
89,Scent of a Woman,156 min,R,Drama,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.","63,895,607",1992
90,The Silence of the Lambs,118 min,R,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","130,742,922",1991
91,Beauty and the Beast,84 min,G,"Animation, Family, Fantasy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"218,967,620",1991
92,Bugsy,136 min,R,"Biography, Crime, Drama","The story of how Benjamin ""Bugsy"" Siegel started Las Vegas.","49,114,016",1991
93,JFK,189 min,R,"Drama, History, Thriller",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,"70,405,498",1991
94,The Prince of Tides,132 min,R,"Drama, Romance",A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,"74,787,599",1991
95,Dances with Wolves,181 min,PG-13,"Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.","184,208,848",1990
96,Awakenings,121 min,PG-13,"Biography, Drama","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.","52,096,475",1990
97,Ghost,127 min,PG-13,"Drama, Fantasy, Romance","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","217,631,306",1990
98,The Godfather Part III,162 min,R,"Crime, Drama","Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.","66,666,062",1990
99,Goodfellas,145 min,R,"Biography, Crime, Drama","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","46,836,394",1990
0,Driving Miss Daisy,99 min,PG,"Comedy, Drama, Romance",An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,"106,593,296",1989
1,Born on the Fourth of July,145 min,R,"Biography, Drama, War","The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.","70,001,698",1989
2,Dead Poets Society,128 min,PG,"Comedy, Drama",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"95,860,116",1989
3,Field of Dreams,107 min,PG,"Drama, Family, Fantasy","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.","64,431,625",1989
4,My Left Foot,103 min,R,"Biography, Drama","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","14,743,391",1989
5,Rain Man,133 min,R,Drama,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.","178,800,000",1988
6,The Accidental Tourist,121 min,PG,"Drama, Romance",An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.,"32,632,093",1988
7,Dangerous Liaisons,119 min,R,"Drama, Romance",A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,"34,700,000",1988
8,Mississippi Burning,128 min,R,"Crime, Drama, History",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,"34,603,943",1988
9,Working Girl,113 min,R,"Comedy, Drama, Romance","When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job.","64,000,000",1988
10,The Last Emperor,163 min,PG-13,"Biography, Drama, History",The story of the final Emperor of China.,"43,984,230",1987
11,Broadcast News,133 min,R,"Comedy, Drama, Romance","Take two rival television reporters: one handsome, one talented, both male. Add one producer, female. Mix well, and watch the sparks fly.","51,249,404",1987
12,Fatal Attraction,119 min,R,"Drama, Thriller",A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,"156,645,693",1987
13,Hope and Glory,113 min,PG-13,"Comedy, Drama, Romance","Bill, a young boy living on the outskirts of London experiences the exhilaration of World War II. During this period, Bill learns about sex, death, love, hypocrisy, and the faults of adults as he prowls the ruins of bombed houses.","10,021,120",1987
14,Moonstruck,102 min,PG,"Comedy, Drama, Romance","Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.","80,640,528",1987
15,Platoon,120 min,R,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","138,530,565",1986
16,Children of a Lesser God,119 min,R,"Drama, Romance","A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.","31,853,080",1986
17,Hannah and Her Sisters,107 min,PG-13,"Comedy, Drama","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.","40,084,041",1986
18,The Mission,125 min,PG,"Adventure, Drama, History",Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.,"17,218,023",1986
19,A Room with a View,117 min,Not Rated,"Drama, Romance","Lucy meets George in a Florence pensione and the two share a brief romance before Lucy returns home, where she becomes engaged to Cecil. However, it isn't long before George unexpectedly enters her life again.","20,966,644",1985
20,Out of Africa,161 min,PG,"Biography, Drama, Romance","In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.","87,100,000",1985
21,The Color Purple,154 min,PG-13,Drama,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,"98,467,863",1985
22,Kiss of the Spider Woman,120 min,R,Drama,A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,"17,037,728",1985
23,Prizzi's Honor,130 min,R,"Comedy, Crime, Drama",Two professional assassins fall in love.,"26,700,000",1985
24,Witness,112 min,R,"Drama, Romance, Thriller","When a young Amish boy is sole witness to a murder while visiting Philadelphia with his mother, police detective John Book tries to protect the boy until an attempt on Book's life forces him into hiding in Amish country.","68,706,993",1985
25,Amadeus,160 min,R,"Biography, Drama, Music","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","51,973,029",1984
26,The Killing Fields,141 min,R,"Biography, Drama, History","A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.","34,700,291",1984
27,A Passage to India,164 min,PG,"Adventure, Drama, History","Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.","27,187,653",1984
28,Places in the Heart,111 min,PG,Drama,"In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman.","34,901,614",1984
29,A Soldier's Story,101 min,PG,"Crime, Drama, Mystery",An African-American officer investigates a murder in a racially charged situation in World War II.,"21,821,347",1984
30,Terms of Endearment,132 min,PG,"Comedy, Drama","Follows hard-to-please Aurora looking for love, and her daughter's family problems.","108,423,489",1983
31,The Big Chill,105 min,R,"Comedy, Drama",A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.,"56,200,000",1983
32,The Dresser,118 min,PG,Drama,Personal assistant Norman struggles to get deteriorating veteran actor Sir through a difficult performance of King Lear.,"5,310,748",1983
33,The Right Stuff,193 min,PG,"Adventure, Biography, Drama","The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.","21,500,000",1983
34,Tender Mercies,92 min,PG,"Drama, Music","A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together.","8,443,124",1983
35,Gandhi,191 min,PG,"Biography, Drama",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"52,767,889",1982
36,ET the Extra-Terrestrial,115 min,PG,"Adventure, Family, Sci-Fi",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"435,110,554",1982
37,Missing,122 min,PG,"Biography, Drama, History","When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him.","14,000,000",1982
38,Tootsie,116 min,PG,"Comedy, Drama, Romance","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","177,200,000",1982
39,The Verdict,129 min,R,Drama,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.","54,000,000",1982
40,Chariots of Fire,125 min,PG,"Biography, Drama, Sport","Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.","58,972,904",1981
41,Atlantic City,104 min,R,"Crime, Drama, Romance","In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",,1980
42,On Golden Pond,109 min,PG,Drama,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.","119,285,432",1981
43,Indiana Jones and the Raiders of the Lost Ark,115 min,PG,"Action, Adventure","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","248,159,971",1981
44,Reds,195 min,PG,"Biography, Drama, History","A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.","40,382,659",1981
45,Ordinary People,124 min,R,Drama,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.","54,800,000",1980
46,Coal Miner's Daughter,124 min,PG,"Biography, Drama, Music","The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s.","67,182,787",1980
47,The Elephant Man,124 min,PG,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",,1980
48,Raging Bull,129 min,R,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","23,383,987",1980
49,Tess,186 min,PG,"Drama, Romance",A strong-willed young peasant girl attracts the affection of two men.,,1979
50,Kramer vs Kramer,105 min,PG,Drama,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.","106,260,000",1979
51,All That Jazz,123 min,R,"Drama, Music, Musical","Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.","37,823,676",1979
52,Apocalypse Now,147 min,R,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"83,471,511",1979
53,Breaking Away,101 min,PG,"Comedy, Drama, Sport",A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.,"16,424,918",1979
54,Norma Rae,114 min,PG,Drama,A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.,"22,228,000",1979
55,The Deer Hunter,183 min,R,"Drama, War",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"48,979,328",1978
56,Coming Home,127 min,R,"Drama, Romance, War",A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,"32,653,905",1978
57,Heaven Can Wait,101 min,PG,"Comedy, Fantasy, Romance","A Los Angeles Rams quarterback, accidentally taken away from his body by an overanxious angel before he was meant to die, returns to life in the body of a recently murdered millionaire.","81,640,278",1978
58,Midnight Express,121 min,R,"Biography, Crime, Drama","Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.","35,000,000",1978
59,An Unmarried Woman,124 min,R,"Comedy, Drama, Romance",A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,"24,000,000",1978
60,Annie Hall,93 min,PG,"Comedy, Romance","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.","39,200,000",1977
61,The Goodbye Girl,111 min,PG,"Comedy, Drama, Romance","After being dumped by her live-in boyfriend, an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.","102,000,000",1977
62,Julia,117 min,PG,Drama,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.",,1977
63,Star Wars,121 min,PG,"Action, Adventure, Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","322,740,140",1977
64,The Turning Point,119 min,PG,"Drama, Romance","When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.","33,600,000",1977
65,Rocky,120 min,PG,"Drama, Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"117,235,247",1976
66,All the President's Men,138 min,PG,"Drama, History, Thriller","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","70,600,000",1976
67,Bound for Glory,147 min,PG,"Biography, Drama, Music",The early life of Woody Guthrie as a vagabond folk singer.,,1976
68,Network,121 min,R,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",,1976
69,Taxi Driver,114 min,R,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","28,262,574",1976
70,One Flew Over the Cuckoo's Nest,133 min,R,Drama,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","112,000,000",1975
71,Barry Lyndon,185 min,PG,"Adventure, Drama, War",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,,1975
72,Dog Day Afternoon,125 min,R,"Biography, Crime, Drama","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","50,000,000",1975
73,Jaws,124 min,PG,"Adventure, Thriller","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","260,000,000",1975
74,Nashville,160 min,R,"Comedy, Drama, Music","Over the course of a few hectic days, numerous interrelated people prepare for a political convention.","14,824,000",1975
75,The Godfather Part II,202 min,R,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","57,300,000",1974
76,Chinatown,130 min,R,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","8,486,653",1974
77,The Conversation,113 min,PG,"Drama, Mystery, Thriller","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","4,420,000",1974
78,Lenny,111 min,R,"Biography, Drama","The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establishment as too obscene for the public.","8,427,866",1974
79,The Towering Inferno,165 min,PG,"Action, Drama, Thriller","At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.","116,000,000",1974
80,The Sting,129 min,PG,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,"159,600,000",1973
81,American Graffiti,110 min,PG,"Comedy, Drama",A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,"115,000,000",1973
82,Cries & Whispers,91 min,R,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.","1,742,348",1972
83,The Exorcist,122 min,R,Horror,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","232,906,145",1973
84,A Touch of Class,106 min,PG,"Comedy, Romance",Romantic comedy about a pair of clandestine lovers in a London-Spain tryst.,"18,312,000",1973
85,The Godfather,175 min,R,"Crime, Drama",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"134,966,411",1972
86,Cabaret,124 min,PG,"Drama, Music, Musical",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"42,765,000",1972
87,Deliverance,109 min,R,"Adventure, Drama, Thriller","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.","7,056,013",1972
88,The Emigrants,151 min,PG,"Drama, History","Småland, Sweden, mid-19th century. A farming family struggle with their rocky, unyielding land, and decide to embark on the arduous journey to new hope in America.","1,156,554",1971
89,Sounder,105 min,G,"Drama, Family",The oldest son of a loving and strong family of black sharecroppers comes of age in the Depression-era South after his father is imprisoned for stealing food.,"3,100,601",1972
90,The French Connection,104 min,R,"Action, Crime, Drama","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.","15,630,710",1971
91,A Clockwork Orange,136 min,R,"Crime, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","6,207,725",1971
92,Fiddler on the Roof,181 min,G,"Drama, Family, Musical","In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.","80,500,000",1971
93,The Last Picture Show,118 min,R,"Drama, Romance","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","29,133,000",1971
94,Nicholas and Alexandra,183 min,GP,"Biography, Drama, History","Tsar Nicholas II, the inept last monarch of Russia, insensitive to the needs of his people, is overthrown and exiled to Siberia with his family.","3,964,917",1971
95,Patton,172 min,GP,"Biography, Drama, War",The World War II phase of the career of controversial American general George S. Patton.,"61,700,000",1970
96,Airport,137 min,G,"Action, Drama, Thriller","A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.","100,489,150",1970
97,Five Easy Pieces,98 min,R,Drama,"A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.","19,402,000",1970
98,Love Story,100 min,PG,"Drama, Romance",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,"106,400,000",1970
99,MASH,116 min,R,"Comedy, Drama, War",The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,"81,600,000",1970
0,Midnight Cowboy,113 min,R,Drama,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.","44,785,053",1969
1,Anne of the Thousand Days,145 min,PG,"Biography, Drama, History","King Henry VIII of England discards one wife, Catharine of Aragon, who has failed to produce a male heir, in favor of the young and beautiful Anne Boleyn.","2,068,232",1969
2,Butch Cassidy and the Sundance Kid,110 min,PG,"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","102,308,889",1969
3,"Hello, Dolly!",146 min,G,"Adventure, Comedy, Musical","Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way.","7,239,608",1969
4,Z,127 min,M/PG,"Crime, Drama, Thriller",The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,"83,305",1969
5,Oliver!,153 min,G,"Drama, Family, Musical","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.","16,800,000",1968
6,Funny Girl,151 min,G,"Biography, Comedy, Drama","The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein.","58,500,000",1968
7,The Lion in Winter,134 min,PG,"Biography, Drama, History","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.","22,276,975",1968
8,"Rachel, Rachel",101 min,R,"Drama, Romance","Rachel is a lonely school teacher who lives with her mother. When a man from the big city asks her out, she starts thinking about where she wants her life to go.",,1968
9,Romeo and Juliet,138 min,PG,"Drama, Romance","When two young members of feuding families meet, forbidden love ensues.","38,901,218",1968
